epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,224.462,0.50931,0.46393,0.98652,0.93992,0.3892,0.42297,0.29455,1.82446,2.46494,1.53976,1.98016e-05,1.98016e-05,1.98016e-05
82,226.799,0.75099,0.69506,1.15472,0.93992,0.3892,0.42297,0.29455,1.82446,2.46494,1.53976,1.90949e-05,1.90949e-05,1.90949e-05
83,229.135,0.80101,0.77846,1.19269,0.93992,0.3892,0.42297,0.29455,1.82446,2.46494,1.53976,1.83646e-05,1.83646e-05,1.83646e-05
84,231.518,0.59358,0.60366,1.03012,0.93783,0.3881,0.42137,0.29354,1.83212,2.4959,1.5449,1.76107e-05,1.76107e-05,1.76107e-05
85,234.389,0.6241,0.7875,1.14839,0.93783,0.3881,0.42137,0.29354,1.83212,2.4959,1.5449,1.68333e-05,1.68333e-05,1.68333e-05
86,236.748,0.85971,0.84039,1.13933,0.93783,0.3881,0.42137,0.29354,1.83212,2.4959,1.5449,1.60323e-05,1.60323e-05,1.60323e-05
87,239.063,0.65914,0.78562,1.01803,0.93783,0.3881,0.42137,0.29354,1.83212,2.4959,1.5449,1.52077e-05,1.52077e-05,1.52077e-05
88,241.428,0.79162,0.84377,1.38654,0.93867,0.38725,0.42039,0.29331,1.80817,2.51805,1.51532,1.43596e-05,1.43596e-05,1.43596e-05
89,243.755,1.07544,1.03788,1.51094,0.93867,0.38725,0.42039,0.29331,1.80817,2.51805,1.51532,1.34879e-05,1.34879e-05,1.34879e-05
90,246.109,0.58493,0.64886,0.9788,0.93867,0.38725,0.42039,0.29331,1.80817,2.51805,1.51532,1.25927e-05,1.25927e-05,1.25927e-05
91,248.435,0.52493,0.51187,0.92964,0.93867,0.38725,0.42039,0.29331,1.80817,2.51805,1.51532,1.16739e-05,1.16739e-05,1.16739e-05
92,250.832,0.67472,0.71759,0.95591,0.94454,0.38776,0.42055,0.29212,1.79899,2.57388,1.50137,1.07315e-05,1.07315e-05,1.07315e-05
93,253.16,0.40964,0.47561,0.9556,0.94454,0.38776,0.42055,0.29212,1.79899,2.57388,1.50137,9.76562e-06,9.76562e-06,9.76562e-06
94,256.178,0.5448,0.53588,0.88934,0.94454,0.38776,0.42055,0.29212,1.79899,2.57388,1.50137,8.77613e-06,8.77613e-06,8.77613e-06
95,258.498,0.43527,0.4973,0.9321,0.94454,0.38776,0.42055,0.29212,1.79899,2.57388,1.50137,7.76308e-06,7.76308e-06,7.76308e-06
96,262.212,0.45243,0.48347,0.97084,0.9416,0.38659,0.42201,0.29283,1.83052,2.62446,1.547,6.72648e-06,6.72648e-06,6.72648e-06
97,264.484,0.67332,0.69467,1.02414,0.9416,0.38659,0.42201,0.29283,1.83052,2.62446,1.547,5.6663e-06,5.6663e-06,5.6663e-06
98,266.887,0.48248,0.53597,0.91023,0.9416,0.38659,0.42201,0.29283,1.83052,2.62446,1.547,4.58257e-06,4.58257e-06,4.58257e-06
99,269.216,0.56206,0.61704,0.95611,0.9416,0.38659,0.42201,0.29283,1.83052,2.62446,1.547,3.47528e-06,3.47528e-06,3.47528e-06
100,271.609,0.46608,0.49307,0.97188,0.9482,0.38132,0.41893,0.28995,1.80532,2.66838,1.50848,2.34442e-06,2.34442e-06,2.34442e-06
